[2026-08-13 21:33:46] 库版本(同步前): 2026.08.13.4
[2026-08-13 21:33:46] 服务端库: /tmp/rt_db/System.db
[2026-08-13 21:33:46] 客户端库: /home/tetsuya/development/zircon/Debug/Client/Data/System.db
[2026-08-13 21:33:46] 阶段A校验失败: 425 处错误，未写库。
[2026-08-13 21:33:46]   ✗ ItemInfo#1003.Image: 图像帧 3331 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1004.Image: 图像帧 3326 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1005.Image: 图像帧 3336 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1006.Image: 图像帧 3323 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1007.Image: 图像帧 3333 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1008.Image: 图像帧 2560 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1009.Image: 图像帧 2520 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1010.Image: 图像帧 2510 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1011.Image: 图像帧 3450 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1012.Image: 图像帧 5500 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1013.Image: 图像帧 5501 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1014.Image: 图像帧 5502 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1015.Image: 图像帧 5510 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1016.Image: 图像帧 5511 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1017.Image: 图像帧 5512 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1018.Image: 图像帧 5520 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1019.Image: 图像帧 5521 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1020.Image: 图像帧 5522 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1021.Image: 图像帧 3422 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1022.Image: 图像帧 3436 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1023.Image: 图像帧 3445 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1024.Image: 图像帧 3455 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1025.Image: 图像帧 3426 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1026.Image: 图像帧 3435 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1027.Image: 图像帧 3447 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1028.Image: 图像帧 3451 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1037.Image: 图像帧 3320 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1038.Image: 图像帧 3330 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1039.Image: 图像帧 3327 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1040.Image: 图像帧 3337 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1041.Image: 图像帧 6000 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1042.Image: 图像帧 6010 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1043.Image: 图像帧 3380 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1044.Image: 图像帧 3390 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1045.Image: 图像帧 3470 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1046.Image: 图像帧 3480 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1047.Image: 图像帧 3472 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1048.Image: 图像帧 3540 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1053.Image: 图像帧 3304 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1054.Image: 图像帧 3306 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1055.Image: 图像帧 3307 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1057.Image: 图像帧 3284 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1058.Image: 图像帧 3286 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1059.Image: 图像帧 3287 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1060.Image: 图像帧 3264 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1061.Image: 图像帧 3266 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1062.Image: 图像帧 3267 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1063.Image: 图像帧 3244 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1064.Image: 图像帧 3246 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1065.Image: 图像帧 3247 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1066.Image: 图像帧 2759 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1067.Image: 图像帧 3261 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1068.Image: 图像帧 3260 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1069.Image: 图像帧 3422 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1070.Image: 图像帧 3422 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1072.Image: 图像帧 3422 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1073.Image: 图像帧 3280 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1074.Image: 图像帧 3282 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1075.Image: 图像帧 3285 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1076.Image: 图像帧 3262 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1077.Image: 图像帧 3265 超出范围 [0, 2364]
